school name,charter number,site type,more details,statistical info,county
Mountain View Montessori Charter,296,Site-based Instruction,Mountain View Montessori Charter,DataQuest Reports,San Bernardino
New Vision Middle,1089,Site-based Instruction,New Vision Middle,DataQuest Reports,San Bernardino
Norton Science and Language Academy,903,Site-based Instruction,Norton Science and Language Academy,DataQuest Reports,San Bernardino
Options For Youth - Victorville,13,Independent Study,Options For Youth - Victorville,DataQuest Reports,San Bernardino
Options for Youth-San Bernardino,1132,Independent Study,Options for Youth-San Bernardino,DataQuest Reports,San Bernardino
Pathways to College,801,Site-based Instruction,Pathways to College,DataQuest Reports,San Bernardino
Provisional Accelerated Learning Academy,335,Independent Study,Provisional Accelerated Learning Academy,DataQuest Reports,San Bernardino
Public Safety Academy,731,Site-based Instruction,Public Safety Academy,DataQuest Reports,San Bernardino
Riverside Preparatory,855,Site-based Instruction,Riverside Preparatory,DataQuest Reports,San Bernardino
Sage Oak Charter,1885,Independent Study,Sage Oak Charter,DataQuest Reports,San Bernardino
Savant Preparatory Academy of Business,1971,Site-based Instruction,Savant Preparatory Academy of Business,DataQuest Reports,San Bernardino
Sixth Street Prep,309,Site-based Instruction,Sixth Street Prep,DataQuest Reports,San Bernardino
Sky Mountain Charter,905,Independent Study,Sky Mountain Charter,DataQuest Reports,San Bernardino
SOAR Charter Academy,982,Site-based Instruction,SOAR Charter Academy,DataQuest Reports,San Bernardino
Summit Leadership Academy-High Desert,671,Site-based Instruction,Summit Leadership Academy-High Desert,DataQuest Reports,San Bernardino
Sycamore Academy of Science and Cultural Arts - Chino Valley,2036,Site-based Instruction,Sycamore Academy of Science and Cultural Arts - Chino Valley,DataQuest Reports,San Bernardino
Taylion High Desert Academy/Adelanto,1520,Independent Study,Taylion High Desert Academy/Adelanto,DataQuest Reports,San Bernardino
Virtual Preparatory Academy at Lucerne,1975,Independent Study,Virtual Preparatory Academy at Lucerne,DataQuest Reports,San Bernardino
Vista Norte Public Charter,1919,Independent Study,Vista Norte Public Charter,DataQuest Reports,San Bernardino
Woodward Leadership Academy,1438,Site-based Instruction,Woodward Leadership Academy,DataQuest Reports,San Bernardino
Albert Einstein Academies,773,Site-based Instruction,Albert Einstein Academies,DataQuest Reports,San Diego
All Tribes Charter,1057,Combination of Site-based and IS,All Tribes Charter,DataQuest Reports,San Diego
All Tribes Elementary Charter,1262,Site-based Instruction,All Tribes Elementary Charter,DataQuest Reports,San Diego
America's Finest Charter,1301,Site-based Instruction,America's Finest Charter,DataQuest Reports,San Diego
Arroyo Vista Charter,483,Site-based Instruction,Arroyo Vista Charter,DataQuest Reports,San Diego
Audeo Charter,406,Independent Study,Audeo Charter,DataQuest Reports,San Diego
Audeo Charter II,1835,Independent Study,Audeo Charter II,DataQuest Reports,San Diego
Audeo Charter School III,1935,Independent Study,Audeo Charter School III,DataQuest Reports,San Diego
Barona Indian Charter,469,Site-based Instruction,Barona Indian Charter,DataQuest Reports,San Diego
Baypoint Preparatory Academy - San Diego,1966,Site-based Instruction,Baypoint Preparatory Academy - San Diego,DataQuest Reports,San Diego
Bella Mente Montessori Academy,1515,Site-based Instruction,Bella Mente Montessori Academy,DataQuest Reports,San Diego
Bostonia Global,2105,Independent Study,Bostonia Global,DataQuest Reports,San Diego
Brookfield Engineering Science Technology Academy,2055,Independent Study,Brookfield Engineering Science Technology Academy,DataQuest Reports,San Diego
Cabrillo Point Academy,1748,Independent Study,Cabrillo Point Academy,DataQuest Reports,San Diego
California Pacific Charter - San Diego,1758,Independent Study,California Pacific Charter - San Diego,DataQuest Reports,San Diego
California Virtual Academy @ San Diego,493,Independent Study,California Virtual Academy @ San Diego,DataQuest Reports,San Diego
Charter School of San Diego,28,Independent Study,Charter School of San Diego,DataQuest Reports,San Diego
Chula Vista Learning Community Charter,135,Combination of Site-based and IS,Chula Vista Learning Community Charter,DataQuest Reports,San Diego
City Heights Preparatory Charter,1312,Site-based Instruction,City Heights Preparatory Charter,DataQuest Reports,San Diego
Classical Academy,199,Independent Study,Classical Academy,DataQuest Reports,San Diego
Classical Academy High,759,Independent Study,Classical Academy High,DataQuest Reports,San Diego
Classical Academy Vista,2016,Independent Study,Classical Academy Vista,DataQuest Reports,San Diego
Coastal Academy Charter,516,Independent Study,Coastal Academy Charter,DataQuest Reports,San Diego
College Preparatory Middle,1967,Site-based Instruction,College Preparatory Middle,DataQuest Reports,San Diego
Community Montessori,1947,Independent Study,Community Montessori,DataQuest Reports,San Diego
Compass Charter Schools of San Diego,1454,Independent Study,Compass Charter Schools of San Diego,DataQuest Reports,San Diego
Darnall Charter,33,Site-based Instruction,Darnall Charter,DataQuest Reports,San Diego
Diego Hills Central Public Charter,1909,Independent Study,Diego Hills Central Public Charter,DataQuest Reports,San Diego
Diego Valley East Public Charter,1934,Independent Study,Diego Valley East Public Charter,DataQuest Reports,San Diego
Dimensions Collaborative,1946,Independent Study,Dimensions Collaborative,DataQuest Reports,San Diego
Discovery Charter,54,Site-based Instruction,Discovery Charter,DataQuest Reports,San Diego
Dual Language Immersion North County,2023,Site-based Instruction,Dual Language Immersion North County,DataQuest Reports,San Diego
e3 Civic High,1302,Site-based Instruction,e3 Civic High,DataQuest Reports,San Diego
EJE Elementary Academy Charter,683,Site-based Instruction,EJE Elementary Academy Charter,DataQuest Reports,San Diego
EJE Middle Academy,1063,Site-based Instruction,EJE Middle Academy,DataQuest Reports,San Diego
Elevate Elementary,1633,Site-based Instruction,Elevate Elementary,DataQuest Reports,San Diego
Elite Academic Academy - Mountain Empire,1924,Independent Study,Elite Academic Academy - Mountain Empire,DataQuest Reports,San Diego
Empower Language Academy,1634,Site-based Instruction,Empower Language Academy,DataQuest Reports,San Diego
Escondido Charter High,109,Combination of Site-based and IS,Escondido Charter High,DataQuest Reports,San Diego
Excel Academy Charter,2053,Independent Study,Excel Academy Charter,DataQuest Reports,San Diego
Feaster (Mae L.) Charter,121,Site-based Instruction,Feaster (Mae L.) Charter,DataQuest Reports,San Diego
Gompers Preparatory Academy,1080,Site-based Instruction,Gompers Preparatory Academy,DataQuest Reports,San Diego
Greater San Diego Academy,261,Independent Study,Greater San Diego Academy,DataQuest Reports,San Diego
Grossmont Secondary,1889,Independent Study,Grossmont Secondary,DataQuest Reports,San Diego
Guajome Learning Center,1351,Independent Study,Guajome Learning Center,DataQuest Reports,San Diego
Guajome Park Academy Charter,50,Site-based Instruction,Guajome Park Academy Charter,DataQuest Reports,San Diego
Harbor Springs Charter,1589,Independent Study,Harbor Springs Charter,DataQuest Reports,San Diego
Harriet Tubman Village Charter,46,Site-based Instruction,Harriet Tubman Village Charter,DataQuest Reports,San Diego
Hawking S.T.E.A.M. Charter,1407,Site-based Instruction,Hawking S.T.E.A.M. Charter,DataQuest Reports,San Diego
Health Sciences High,876,Site-based Instruction,Health Sciences High,DataQuest Reports,San Diego
Helix High,150,Site-based Instruction,Helix High,DataQuest Reports,San Diego
Heritage K-8 Charter,556,Combination of Site-based and IS,Heritage K-8 Charter,DataQuest Reports,San Diego
High Tech Elementary,1709,Site-based Instruction,High Tech Elementary,DataQuest Reports,San Diego
High Tech Elementary Chula Vista,756,Site-based Instruction,High Tech Elementary Chula Vista,DataQuest Reports,San Diego
High Tech Elementary Explorer,278,Site-based Instruction,High Tech Elementary Explorer,DataQuest Reports,San Diego
High Tech Elementary Mesa,756,Site-based Instruction,High Tech Elementary Mesa,DataQuest Reports,San Diego
High Tech Elementary North County,756,Site-based Instruction,High Tech Elementary North County,DataQuest Reports,San Diego
High Tech High,269,Site-based Instruction,High Tech High,DataQuest Reports,San Diego
High Tech High Chula Vista,756,Site-based Instruction,High Tech High Chula Vista,DataQuest Reports,San Diego
High Tech High International,623,Site-based Instruction,High Tech High International,DataQuest Reports,San Diego
High Tech High Media Arts,622,Site-based Instruction,High Tech High Media Arts,DataQuest Reports,San Diego
High Tech High Mesa,756,Site-based Instruction,High Tech High Mesa,DataQuest Reports,San Diego
High Tech High North County,756,Site-based Instruction,High Tech High North County,DataQuest Reports,San Diego
High Tech Middle,546,Site-based Instruction,High Tech Middle,DataQuest Reports,San Diego
High Tech Middle Chula Vista,756,Site-based Instruction,High Tech Middle Chula Vista,DataQuest Reports,San Diego
High Tech Middle Media Arts,660,Site-based Instruction,High Tech Middle Media Arts,DataQuest Reports,San Diego
High Tech Middle Mesa,756,Site-based Instruction,High Tech Middle Mesa,DataQuest Reports,San Diego
High Tech Middle North County,756,Site-based Instruction,High Tech Middle North County,DataQuest Reports,San Diego
Holly Drive Leadership Academy,264,Site-based Instruction,Holly Drive Leadership Academy,DataQuest Reports,San Diego
Howard Gardner Community Charter,1308,Site-based Instruction,Howard Gardner Community Charter,DataQuest Reports,San Diego
Iftin Charter,680,Site-based Instruction,Iftin Charter,DataQuest Reports,San Diego
Imperial Beach Charter,1418,Site-based Instruction,Imperial Beach Charter,DataQuest Reports,San Diego
Ingenuity Charter,1719,Independent Study,Ingenuity Charter,DataQuest Reports,San Diego
Innovations Academy,1024,Combination of Site-based and IS,Innovations Academy,DataQuest Reports,San Diego
Insight @ San Diego,1371,Independent Study,Insight @ San Diego,DataQuest Reports,San Diego
Integrity Charter,553,Site-based Instruction,Integrity Charter,DataQuest Reports,San Diego
JCS - Cedar Cove,2022,Combination of Site-based and IS,JCS - Cedar Cove,DataQuest Reports,San Diego
JCS - Manzanita,2024,Independent Study,JCS - Manzanita,DataQuest Reports,San Diego
JCS - Mountain Oaks,1992,Independent Study,JCS - Mountain Oaks,DataQuest Reports,San Diego
JCS - Pine Valley,2021,Combination of Site-based and IS,JCS - Pine Valley,DataQuest Reports,San Diego
Julian Charter,267,Independent Study,Julian Charter,DataQuest Reports,San Diego
Kavod Charter,1447,Site-based Instruction,Kavod Charter,DataQuest Reports,San Diego
Keiller Leadership Academy,695,Site-based Instruction,Keiller Leadership Academy,DataQuest Reports,San Diego
Kidinnu Academy,2054,Site-based Instruction,Kidinnu Academy,DataQuest Reports,San Diego
King-Chavez Academy of Excellence,420,Site-based Instruction,King-Chavez Academy of Excellence,DataQuest Reports,San Diego
King-Chavez Arts Academy,704,Site-based Instruction,King-Chavez Arts Academy,DataQuest Reports,San Diego
King-Chavez Community High,1015,Site-based Instruction,King-Chavez Community High,DataQuest Reports,San Diego
King-Chavez Preparatory Academy,772,Site-based Instruction,King-Chavez Preparatory Academy,DataQuest Reports,San Diego
King-Chavez Primary Academy,705,Site-based Instruction,King-Chavez Primary Academy,DataQuest Reports,San Diego
KIPP Adelante Preparatory Academy,550,Site-based Instruction,KIPP Adelante Preparatory Academy,DataQuest Reports,San Diego
Learning Choice Academy,659,Independent Study,Learning Choice Academy,DataQuest Reports,San Diego
Learning Choice Academy - Chula Vista,2001,Independent Study,Learning Choice Academy - Chula Vista,DataQuest Reports,San Diego
Leonardo da Vinci Health Sciences Charter,1082,Site-based Instruction,Leonardo da Vinci Health Sciences Charter,DataQuest Reports,San Diego
Literacy First Charter,405,Combination of Site-based and IS,Literacy First Charter,DataQuest Reports,San Diego
MAAC Community Charter,303,Combination of Site-based and IS,MAAC Community Charter,DataQuest Reports,San Diego
Magnolia Science Academy San Diego,698,Site-based Instruction,Magnolia Science Academy San Diego,DataQuest Reports,San Diego
McGill School of Success,95,Site-based Instruction,McGill School of Success,DataQuest Reports,San Diego
Methodschools,1617,Independent Study,Methodschools,DataQuest Reports,San Diego
Motivated Youth Academy,1628,Independent Study,Motivated Youth Academy,DataQuest Reports,San Diego
Mueller Charter (Robert L.),64,Site-based Instruction,Mueller Charter (Robert L.),DataQuest Reports,San Diego
Museum,81,Site-based Instruction,Museum,DataQuest Reports,San Diego
Nestor Language Academy Charter,1252,Site-based Instruction,Nestor Language Academy Charter,DataQuest Reports,San Diego
North County Trade Tech High,884,Site-based Instruction,North County Trade Tech High,DataQuest Reports,San Diego
Old Town Academy K-8 Charter,1279,Site-based Instruction,Old Town Academy K-8 Charter,DataQuest Reports,San Diego
Pacific Coast Academy,1892,Independent Study,Pacific Coast Academy,DataQuest Reports,San Diego
Pacific Springs Charter,1989,Independent Study,Pacific Springs Charter,DataQuest Reports,San Diego
Pacific View Charter,247,Independent Study,Pacific View Charter,DataQuest Reports,San Diego
Pathways Academy Charter - Adult Education,2052,Independent Study,Pathways Academy Charter - Adult Education,DataQuest Reports,San Diego
Pivot Charter School - San Diego II,1983,Independent Study,Pivot Charter School - San Diego II,DataQuest Reports,San Diego
Preuss School UCSD,169,Site-based Instruction,Preuss School UCSD,DataQuest Reports,San Diego
River Valley Charter,120,Independent Study,River Valley Charter,DataQuest Reports,San Diego
Sage Oak Charter - South,2051,Independent Study,Sage Oak Charter - South,DataQuest Reports,San Diego
San Diego Cooperative Charter,396,Site-based Instruction,San Diego Cooperative Charter,DataQuest Reports,San Diego
San Diego Mission Academy,2020,Independent Study,San Diego Mission Academy,DataQuest Reports,San Diego
San Diego Virtual,1264,Independent Study,San Diego Virtual,DataQuest Reports,San Diego
San Diego Workforce Innovation High,1832,Independent Study,San Diego Workforce Innovation High,DataQuest Reports,San Diego
Scholarship Prep - Oceanside,1883,Site-based Instruction,Scholarship Prep - Oceanside,DataQuest Reports,San Diego
School for Entrepreneurship and Technology,1253,Site-based Instruction,School for Entrepreneurship and Technology,DataQuest Reports,San Diego
SD Global Vision Academy,1190,Site-based Instruction,SD Global Vision Academy,DataQuest Reports,San Diego
SIATech,627,Combination of Site-based and IS,SIATech,DataQuest Reports,San Diego
Sparrow Academy,1901,Combination of Site-based and IS,Sparrow Academy,DataQuest Reports,San Diego
Steele Canyon High,893,Site-based Instruction,Steele Canyon High,DataQuest Reports,San Diego
Sweetwater Secondary,1903,Independent Study,Sweetwater Secondary,DataQuest Reports,San Diego
The Heights Charter,1488,Independent Study,The Heights Charter,DataQuest Reports,San Diego
The Learning Choice Academy - East County,2039,Independent Study,The Learning Choice Academy - East County,DataQuest Reports,San Diego
The O'Farrell Charter,48,Site-based Instruction,The O'Farrell Charter,DataQuest Reports,San Diego
Urban Discovery Academy Charter,1008,Site-based Instruction,Urban Discovery Academy Charter,DataQuest Reports,San Diego
Vista Springs Charter,1968,Combination of Site-based and IS,Vista Springs Charter,DataQuest Reports,San Diego
Vivian Banks Charter,104,Site-based Instruction,Vivian Banks Charter,DataQuest Reports,San Diego
City Arts and Tech High,599,Site-based Instruction,City Arts and Tech High,DataQuest Reports,San Francisco
Creative Arts Charter,40,Site-based Instruction,Creative Arts Charter,DataQuest Reports,San Francisco
Five Keys Adult School (SF Sheriff's),1029,Site-based Instruction,Five Keys Adult School (SF Sheriff's),DataQuest Reports,San Francisco
Five Keys Charter (SF Sheriff's),567,Site-based Instruction,Five Keys Charter (SF Sheriff's),DataQuest Reports,San Francisco
Five Keys Independence HS (SF Sheriff's),1028,Independent Study,Five Keys Independence HS (SF Sheriff's),DataQuest Reports,San Francisco
Gateway High,141,Site-based Instruction,Gateway High,DataQuest Reports,San Francisco
Gateway Middle,1267,Site-based Instruction,Gateway Middle,DataQuest Reports,San Francisco
KIPP Bayview Academy,549,Combination of Site-based and IS,KIPP Bayview Academy,DataQuest Reports,San Francisco
KIPP Bayview Elementary,1954,Combination of Site-based and IS,KIPP Bayview Elementary,DataQuest Reports,San Francisco
KIPP San Francisco Bay Academy,551,Combination of Site-based and IS,KIPP San Francisco Bay Academy,DataQuest Reports,San Francisco
KIPP San Francisco College Preparatory,1502,Combination of Site-based and IS,KIPP San Francisco College Preparatory,DataQuest Reports,San Francisco
Leadership High,122,Site-based Instruction,Leadership High,DataQuest Reports,San Francisco
Life Learning Academy Charter,140,Site-based Instruction,Life Learning Academy Charter,DataQuest Reports,San Francisco
Mission Preparatory,1270,Site-based Instruction,Mission Preparatory,DataQuest Reports,San Francisco
The New School of San Francisco,1742,Site-based Instruction,The New School of San Francisco,DataQuest Reports,San Francisco
Thomas Edison Charter Academy,158,Site-based Instruction,Thomas Edison Charter Academy,DataQuest Reports,San Francisco
Aspire APEX Academy,1552,Site-based Instruction,Aspire APEX Academy,DataQuest Reports,San Joaquin
Aspire Benjamin Holt College Preparatory Academy,565,Site-based Instruction,Aspire Benjamin Holt College Preparatory Academy,DataQuest Reports,San Joaquin
Aspire Benjamin Holt Middle,1782,Site-based Instruction,Aspire Benjamin Holt Middle,DataQuest Reports,San Joaquin
Aspire Langston Hughes Academy,1048,Site-based Instruction,Aspire Langston Hughes Academy,DataQuest Reports,San Joaquin
Aspire Port City Academy,1553,Site-based Instruction,Aspire Port City Academy,DataQuest Reports,San Joaquin
Aspire River Oaks Charter,364,Site-based Instruction,Aspire River Oaks Charter,DataQuest Reports,San Joaquin
Aspire Rosa Parks Academy,554,Site-based Instruction,Aspire Rosa Parks Academy,DataQuest Reports,San Joaquin
Aspire Stockton 6-12 Secondary Academy,2064,Site-based Instruction,Aspire Stockton 6-12 Secondary Academy,DataQuest Reports,San Joaquin
Aspire Stockton TK-5 Elementary Academy,2063,Site-based Instruction,Aspire Stockton TK-5 Elementary Academy,DataQuest Reports,San Joaquin
Aspire Vincent Shalvey Academy,178,Site-based Instruction,Aspire Vincent Shalvey Academy,DataQuest Reports,San Joaquin
Banta Charter,2104,Site-based Instruction,Banta Charter,DataQuest Reports,San Joaquin
California Connections Academy @ Ripon,1398,Independent Study,California Connections Academy @ Ripon,DataQuest Reports,San Joaquin
California Virtual Academy @ San Joaquin,1489,Independent Study,California Virtual Academy @ San Joaquin,DataQuest Reports,San Joaquin
Delta Bridges Charter,1731,Site-based Instruction,Delta Bridges Charter,DataQuest Reports,San Joaquin
Delta Charter,393,Site-based Instruction,Delta Charter,DataQuest Reports,San Joaquin
Delta Charter Online,1879,Independent Study,Delta Charter Online,DataQuest Reports,San Joaquin
Delta Home Charter,1646,Independent Study,Delta Home Charter,DataQuest Reports,San Joaquin
Delta Keys Charter,1878,Independent Study,Delta Keys Charter,DataQuest Reports,San Joaquin
Discovery Charter,355,Site-based Instruction,Discovery Charter,DataQuest Reports,San Joaquin
Dr. Lewis Dolphin Stallworth Sr. Charter,1027,Site-based Instruction,Dr. Lewis Dolphin Stallworth Sr. Charter,DataQuest Reports,San Joaquin
EPIC Academy,2121,Site-based Instruction,EPIC Academy,DataQuest Reports,San Joaquin
Escalon Charter Academy,1416,Combination of Site-based and IS,Escalon Charter Academy,DataQuest Reports,San Joaquin
Health Careers Academy,1283,Site-based Instruction,Health Careers Academy,DataQuest Reports,San Joaquin
"Humphreys College Academy of Business, Law and Education",1448,Site-based Instruction,"Humphreys College Academy of Business, Law and Education",DataQuest Reports,San Joaquin
Insight @ San Joaquin,1762,Independent Study,Insight @ San Joaquin,DataQuest Reports,San Joaquin
Joe Serna Jr. Charter,288,Site-based Instruction,Joe Serna Jr. Charter,DataQuest Reports,San Joaquin
John McCandless Charter,1732,Site-based Instruction,John McCandless Charter,DataQuest Reports,San Joaquin
KIPP Stockton Kindergarten-12th Grade School,2109,Site-based Instruction,KIPP Stockton Kindergarten-12th Grade School,DataQuest Reports,San Joaquin
Millennium Charter,606,Site-based Instruction,Millennium Charter,DataQuest Reports,San Joaquin
New Jerusalem Elementary,1003,Site-based Instruction,New Jerusalem Elementary,DataQuest Reports,San Joaquin
NextGeneration STEAM Academy,1725,Site-based Instruction,NextGeneration STEAM Academy,DataQuest Reports,San Joaquin
Nightingale Charter,1318,Site-based Instruction,Nightingale Charter,DataQuest Reports,San Joaquin
one.Charter,1146,Independent Study,one.Charter,DataQuest Reports,San Joaquin
Pacific Law Academy,1316,Site-based Instruction,Pacific Law Academy,DataQuest Reports,San Joaquin
Pittman Charter,1197,Site-based Instruction,Pittman Charter,DataQuest Reports,San Joaquin
Primary Charter,607,Site-based Instruction,Primary Charter,DataQuest Reports,San Joaquin
Rio Valley Charter,1229,Independent Study,Rio Valley Charter,DataQuest Reports,San Joaquin
River Islands Technology Academy II,1775,Site-based Instruction,River Islands Technology Academy II,DataQuest Reports,San Joaquin
Stockton Collegiate International Elementary,1142,Site-based Instruction,Stockton Collegiate International Elementary,DataQuest Reports,San Joaquin
Stockton Collegiate International Secondary,1143,Site-based Instruction,Stockton Collegiate International Secondary,DataQuest Reports,San Joaquin
Stockton Early College Academy,1083,Site-based Instruction,Stockton Early College Academy,DataQuest Reports,San Joaquin
TEAM Charter,1360,Site-based Instruction,TEAM Charter,DataQuest Reports,San Joaquin
Team Charter Academy,1890,Site-based Instruction,Team Charter Academy,DataQuest Reports,San Joaquin
Tracy Independent Study Charter,2090,Independent Study,Tracy Independent Study Charter,DataQuest Reports,San Joaquin
Valley View Charter Prep,1644,Independent Study,Valley View Charter Prep,DataQuest Reports,San Joaquin
Venture Academy,423,Independent Study,Venture Academy,DataQuest Reports,San Joaquin
Voices College Bound Language Academy at Stockton,2077,Site-based Instruction,Voices College Bound Language Academy at Stockton,DataQuest Reports,San Joaquin
Almond Acres Charter Academy,1395,Site-based Instruction,Almond Acres Charter Academy,DataQuest Reports,San Luis Obispo
Bellevue-Santa Fe Charter,93,Site-based Instruction,Bellevue-Santa Fe Charter,DataQuest Reports,San Luis Obispo
Grizzly ChalleNGe Charter,566,Site-based Instruction,Grizzly ChalleNGe Charter,DataQuest Reports,San Luis Obispo
Aspire East Palo Alto Charter,125,Site-based Instruction,Aspire East Palo Alto Charter,DataQuest Reports,San Mateo
California Virtual Academy San Mateo,802,Independent Study,California Virtual Academy San Mateo,DataQuest Reports,San Mateo
Connect Community Charter,1498,Site-based Instruction,Connect Community Charter,DataQuest Reports,San Mateo
Design Tech High,1647,Site-based Instruction,Design Tech High,DataQuest Reports,San Mateo
East Palo Alto Academy,1446,Site-based Instruction,East Palo Alto Academy,DataQuest Reports,San Mateo
Everest Public High,1070,Site-based Instruction,Everest Public High,DataQuest Reports,San Mateo
KIPP Esperanza High,2085,Site-based Instruction,KIPP Esperanza High,DataQuest Reports,San Mateo
KIPP Excelencia Community Preparatory,1735,Combination of Site-based and IS,KIPP Excelencia Community Preparatory,DataQuest Reports,San Mateo
KIPP Valiant Community Prep,1868,Combination of Site-based and IS,KIPP Valiant Community Prep,DataQuest Reports,San Mateo
Oxford Day Academy,1845,Site-based Instruction,Oxford Day Academy,DataQuest Reports,San Mateo
Rocketship Redwood City,1736,Site-based Instruction,Rocketship Redwood City,DataQuest Reports,San Mateo
San Carlos Charter Learning Center,1,Site-based Instruction,San Carlos Charter Learning Center,DataQuest Reports,San Mateo
Summit Preparatory Charter High,835,Site-based Instruction,Summit Preparatory Charter High,DataQuest Reports,San Mateo
Summit Public School: Shasta,1500,Site-based Instruction,Summit Public School: Shasta,DataQuest Reports,San Mateo
Adelante Charter,326,Site-based Instruction,Adelante Charter,DataQuest Reports,Santa Barbara
California Connections Academy Central Coast,2031,Independent Study,California Connections Academy Central Coast,DataQuest Reports,Santa Barbara
Family Partnership Charter,763,Independent Study,Family Partnership Charter,DataQuest Reports,Santa Barbara
Manzanita Public Charter,973,Site-based Instruction,Manzanita Public Charter,DataQuest Reports,Santa Barbara
Olive Grove Charter - Buellton,2013,Independent Study,Olive Grove Charter - Buellton,DataQuest Reports,Santa Barbara
Olive Grove Charter - Lompoc,2012,Independent Study,Olive Grove Charter - Lompoc,DataQuest Reports,Santa Barbara
Olive Grove Charter - Orcutt/Santa Maria,2011,Independent Study,Olive Grove Charter - Orcutt/Santa Maria,DataQuest Reports,Santa Barbara
Olive Grove Charter - Santa Barbara,2014,Independent Study,Olive Grove Charter - Santa Barbara,DataQuest Reports,Santa Barbara
Orcutt Academy Charter,967,Combination of Site-based and IS,Orcutt Academy Charter,DataQuest Reports,Santa Barbara
Peabody Charter,21,Site-based Instruction,Peabody Charter,DataQuest Reports,Santa Barbara
Santa Barbara Charter,20,Combination of Site-based and IS,Santa Barbara Charter,DataQuest Reports,Santa Barbara
Santa Ynez Valley Charter,337,Site-based Instruction,Santa Ynez Valley Charter,DataQuest Reports,Santa Barbara
Trivium Charter,1319,Independent Study,Trivium Charter,DataQuest Reports,Santa Barbara
Trivium Charter School Adventure,1994,Independent Study,Trivium Charter School Adventure,DataQuest Reports,Santa Barbara
Trivium Charter School Voyage,1995,Independent Study,Trivium Charter School Voyage,DataQuest Reports,Santa Barbara
ACE Charter High,1387,Site-based Instruction,ACE Charter High,DataQuest Reports,Santa Clara
ACE Empower Academy,972,Site-based Instruction,ACE Empower Academy,DataQuest Reports,Santa Clara
ACE Esperanza Middle,1545,Site-based Instruction,ACE Esperanza Middle,DataQuest Reports,Santa Clara
ACE Inspire Academy,1546,Site-based Instruction,ACE Inspire Academy,DataQuest Reports,Santa Clara
Alpha Cindy Avitia High,1737,Site-based Instruction,Alpha Cindy Avitia High,DataQuest Reports,Santa Clara
Alpha: Blanca Alvarado,1375,Site-based Instruction,Alpha: Blanca Alvarado,DataQuest Reports,Santa Clara
Alpha: Cornerstone Academy Preparatory,1167,Site-based Instruction,Alpha: Cornerstone Academy Preparatory,DataQuest Reports,Santa Clara
Alpha: José Hernández,1618,Site-based Instruction,Alpha: José Hernández,DataQuest Reports,Santa Clara
Aptitud Community Academy at Goss,1521,Site-based Instruction,Aptitud Community Academy at Goss,DataQuest Reports,Santa Clara
B. Roberto Cruz Leadership Academy,1675,Site-based Instruction,B. Roberto Cruz Leadership Academy,DataQuest Reports,Santa Clara
Blackford Elementary,993,Site-based Instruction,Blackford Elementary,DataQuest Reports,Santa Clara
Bullis Charter,615,Site-based Instruction,Bullis Charter,DataQuest Reports,Santa Clara
Campbell School of Innovation,1969,Site-based Instruction,Campbell School of Innovation,DataQuest Reports,Santa Clara
Capri Elementary,886,Site-based Instruction,Capri Elementary,DataQuest Reports,Santa Clara
Castlemont Elementary,866,Site-based Instruction,Castlemont Elementary,DataQuest Reports,Santa Clara
Charter School of Morgan Hill,363,Site-based Instruction,Charter School of Morgan Hill,DataQuest Reports,Santa Clara
Discovery Charter,767,Site-based Instruction,Discovery Charter,DataQuest Reports,Santa Clara
Discovery Charter II,1547,Site-based Instruction,Discovery Charter II,DataQuest Reports,Santa Clara
Downtown College Prep - Alum Rock,1268,Site-based Instruction,Downtown College Prep - Alum Rock,DataQuest Reports,Santa Clara
Downtown College Preparatory,287,Site-based Instruction,Downtown College Preparatory,DataQuest Reports,Santa Clara
Downtown College Preparatory Middle,1623,Site-based Instruction,Downtown College Preparatory Middle,DataQuest Reports,Santa Clara
Escuela Popular Accelerated Family Learning,502,Site-based Instruction,Escuela Popular Accelerated Family Learning,DataQuest Reports,Santa Clara
"Escuela Popular/Center for Training and Careers, Family Learning",646,Site-based Instruction,"Escuela Popular/Center for Training and Careers, Family Learning",DataQuest Reports,Santa Clara
Fammatre Elementary,638,Site-based Instruction,Fammatre Elementary,DataQuest Reports,Santa Clara
Farnham Charter,574,Site-based Instruction,Farnham Charter,DataQuest Reports,Santa Clara
Forest Hill Elementary,997,Site-based Instruction,Forest Hill Elementary,DataQuest Reports,Santa Clara
Gilroy Prep (a Navigator School),1278,Site-based Instruction,Gilroy Prep (a Navigator School),DataQuest Reports,Santa Clara
Ida Jew Academies,1243,Site-based Instruction,Ida Jew Academies,DataQuest Reports,Santa Clara
KIPP Heartwood Academy,628,Combination of Site-based and IS,KIPP Heartwood Academy,DataQuest Reports,Santa Clara
KIPP Heritage Academy,1608,Combination of Site-based and IS,KIPP Heritage Academy,DataQuest Reports,Santa Clara
KIPP Navigate College Prep,1955,Combination of Site-based and IS,KIPP Navigate College Prep,DataQuest Reports,Santa Clara
KIPP Prize Preparatory Academy,1609,Combination of Site-based and IS,KIPP Prize Preparatory Academy,DataQuest Reports,Santa Clara
KIPP San Jose Collegiate,976,Combination of Site-based and IS,KIPP San Jose Collegiate,DataQuest Reports,Santa Clara
Latino College Preparatory Academy,414,Site-based Instruction,Latino College Preparatory Academy,DataQuest Reports,Santa Clara
Luis Valdez Leadership Academy,1681,Site-based Instruction,Luis Valdez Leadership Academy,DataQuest Reports,Santa Clara
